,Unnamed: 0,Object,DESIGNATION,RAb,DECb,pmra,pmdec,refepoch,taskurl,phot,ATLAS_o0,ATLAS_o0_err,ATLAS_o1,ATLAS_o1_err,ATLAS_o2,ATLAS_o2_err,ATLAS_o3,ATLAS_o3_err,ATLAS_o4,ATLAS_o4_err,ATLAS_o5,ATLAS_o5_err,ATLAS_o6,ATLAS_o6_err,ATLAS_o7,ATLAS_o7_err,ATLAS_o8,ATLAS_o8_err,ATLAS_c0,ATLAS_c0_err,ATLAS_c1,ATLAS_c1_err,ATLAS_c2,ATLAS_c2_err,ATLAS_c3,ATLAS_c3_err,ATLAS_c4,ATLAS_c4_err,ATLAS_c5,ATLAS_c5_err,ATLAS_c6,ATLAS_c6_err,ATLAS_c7,ATLAS_c7_err,ATLAS_c8,ATLAS_c8_err,USE,RA,DEC,SDSS_u,SDSS_u_err,SDSS_g,SDSS_g_err,SDSS_r,SDSS_r_err,SDSS_i,SDSS_i_err,SDSS_z,SDSS_z_err,PS1-g,PS1-g-err,PS1-r,PS1-r-err,PS1-i,PS1-i-err,PS1-z,PS1-z-err,DES_u,DES_u_err,DES_g,DES_g_err,DES_r,DES_r_err,DES_i,DES_i_err,DES_z,DES_z_err,DES_y,DES_y_err
10,10,sdssj081508,Gaia DR3 3097940536010212736,123.78659136967926,7.529381820467927,5.519248550255952,-0.1901688660180354,2016.0,https://fallingstar-data.com/forcedphot/queue/2931648/,wd_atlas/job2931648.txt,20.441162961631484,0.0627143793994917,20.3317922769986,0.0421566395889472,20.502140510549065,0.0959447059958444,20.409511976155517,0.0694039510211233,20.434174052587345,0.0977463147009695,20.266012477523443,0.0640058805942527,20.30253793158469,0.0549394952682604,20.3945823473938,0.0682031097275365,20.415527072972708,0.0633564126020263,-99999.0,-99999.0,19.975945020663328,0.0467410316308473,-99999.0,-99999.0,19.975658803759707,0.1995769713361078,19.946919231044163,0.0453364337095807,19.97933297304975,0.0351800953424533,19.962420151882853,0.0421040274277066,19.91886732445564,0.0470193187892258,19.95519218165264,0.047899004829098,True,08:15:08.782,07:31:45.775,19.385,0.028,19.651,0.012,20.177,0.023,20.528,0.037,20.54,0.153,19.781,0.038,20.328,0.042,20.625,0.067,20.71,0.165,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
11,11,sssj095657,Gaia DR3 5421579652019276160,149.23753570952366,-38.69174149813299,-8.268969245190412,-46.07496530392556,2016.0,https://fallingstar-data.com/forcedphot/queue/2931649/,wd_atlas/job2931649.txt,18.41277958688687,0.0137672082212134,18.33679471527556,0.0110657149957804,18.41343970523813,0.034470438909433,-99999.0,-99999.0,18.314283552825323,0.0162228146011651,18.304210737423784,0.021339566477884,18.39121605333257,0.0605183641755256,18.31122765378156,0.0052617332280692,18.25412838132162,0.0053257216530499,-99999.0,-99999.0,18.016332773166216,0.0104075960607974,-99999.0,-99999.0,-99999.0,-99999.0,18.008500708250864,0.01067521190502,18.01744370373564,0.010671660597657,17.995887799975137,0.0264269431118671,17.963717042229153,0.0059242915068454,17.954538982913363,0.0063509816433101,True,09:56:57.009,-38:41:30.269,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
12,12,sdssj102430,Gaia DR3 3830980604624181376,156.12879906415154,-0.5353223337546932,-21.30106779257901,-5.6699874218101245,2016.0,https://fallingstar-data.com/forcedphot/queue/2931650/,wd_atlas/job2931650.txt,19.47544641579053,0.0258234594662825,19.479939433048955,0.0208645965959056,19.497562833747853,0.0379449912830862,19.51671587832296,0.0327427152628995,19.475848553633547,0.0356455125526265,19.45320012370172,0.0333089578273671,19.40665552401052,0.0243044082653651,19.42072362941349,0.028062934727441,19.3950447601807,0.0232026533076256,-99999.0,-99999.0,19.100823494860805,0.0232023431107689,-99999.0,-99999.0,-99999.0,-99999.0,19.079431735252214,0.0214250261720247,19.07845175856909,0.0182406302356935,19.06789475128485,0.02195196158321,19.03627013628064,0.0211390924595109,19.029757204247566,0.02000599710313,True,10:24:30.912,-00:32:07.16,18.586,0.017,18.839,0.009,19.292,0.013,19.592,0.021,19.759,0.079,18.885,0.01,19.292,0.026,19.44,0.102,19.758,0.026,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
13,13,sssj105525,Gaia DR3 5401230062610609920,163.85565025492218,-36.20409182550481,-21.35310409930871,46.13399320422997,2016.0,https://fallingstar-data.com/forcedphot/queue/2931651/,wd_atlas/job2931651.txt,18.596160469943086,0.0135565703603449,18.602431137773053,0.0126198643088748,18.59464862953091,0.0436182954607565,18.50383343256245,0.0520389459882411,18.57939791410737,0.0217067315876455,18.583799429231213,0.025160366352581,18.584443943103278,0.0571406775824257,18.55439803744887,0.0066332558174123,18.509583889326308,0.0061628193485406,-99999.0,-99999.0,18.229318704459924,0.0117768387840071,-99999.0,-99999.0,-99999.0,-99999.0,18.20479191866525,0.0111186468997666,18.20644584003792,0.0109316973652901,18.22579062512069,0.0328441681141359,18.157534762290272,0.0059970334505603,18.16063566843145,0.0071760065979172,True,10:55:25.356,-36:12:14.731,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
14,14,sdssj111059,Gaia DR3 3559181712491390208,167.7476479635592,-17.165085636881628,5.453735798364239,-8.015059674423252,2016.0,https://fallingstar-data.com/forcedphot/queue/2931652/,wd_atlas/job2931652.txt,18.47265316515968,0.0103008181381843,18.448626954794356,0.0088595035539452,18.499645696265603,0.0205257929546258,18.42806239986272,0.0281269407842136,18.45353937893231,0.0197284721272016,18.451641808649235,0.0177536352229141,18.43899480531004,0.0178617603779275,18.433210676490816,0.0078615546592588,18.4039776323893,0.0064952633278914,-99999.0,-99999.0,18.04760698834113,0.0079482118789967,-99999.0,-99999.0,17.999275480586046,0.0386042833409234,18.059684419777025,0.0078404213373589,18.075873089624785,0.0080717120651416,18.09443961161059,0.0147158314380295,18.01670562742056,0.0063493237344177,18.016322317047067,0.0070503077982447,True,11:10:59.436,-17:09:54.308,17.48,0.011,17.825,0.006,18.294,0.008,18.612,0.012,18.909,0.043,17.895,0.004,18.302,0.01,18.607,0.013,18.957,0.02,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
15,15,sdssj120650,Gaia DR3 3891742709551744640,181.7100426880997,2.028371721366028,-5.06119663065238,-23.36651771922378,2016.0,https://fallingstar-data.com/forcedphot/queue/2931654/,wd_atlas/job2931654.txt,19.223344836496757,0.0200457386037832,19.178599597127835,0.0151651073167824,19.167398178754468,0.0281564392805137,19.209359358897384,0.0247764181225074,19.211188859183988,0.0297454423460729,19.210473480359838,0.026162728198702,19.173974855684087,0.0195954529095304,19.185901636902656,0.0252916041684312,19.12228356070364,0.018459412332473,-99999.0,-99999.0,18.835821448363053,0.0207098791801695,-99999.0,-99999.0,-99999.0,-99999.0,18.812504633133365,0.0179187003607854,18.859029025201163,0.0152085485107021,18.83373325014298,0.0170513206513792,18.80826804782964,0.0144590391042009,18.79858544326685,0.0190669148312579,True,12:06:50.41,02:01:42.138,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.693,0.012,19.096,0.026,19.388,0.019,19.645,0.031,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
16,16,wd1203,Gaia DR3 3486471764460448512,181.58481006317712,-27.49462181218527,3.0186348085225885,2.796470810660104,2016.0,https://fallingstar-data.com/forcedphot/queue/2931655/,wd_atlas/job2931655.txt,17.090834736477788,0.0032628522647856,17.091996354529307,0.0033440995527823,17.100688446534235,0.0122845454595144,17.159469799541935,0.0317493731474994,17.08065598446727,0.0052517659770987,17.072511404220442,0.0059013422008876,17.09701614201353,0.0235414099969068,17.07486145358932,0.0024065962139695,17.03819471285833,0.0022345650374031,-99999.0,-99999.0,16.668426142327455,0.0037712662915476,-99999.0,-99999.0,16.709372076588235,0.0158214725736671,16.672307064804706,0.0030486153447097,16.677662900758538,0.0029083980656601,16.65700265533193,0.014518299691308,16.635716196953947,0.0022787457238717,16.628059505115488,0.002369365103308,True,12:06:20.354,-27:29:40.639,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
17,17,sdssj121405,Gaia DR3 1539041748873288704,183.5212958717449,45.63850723955974,0.2783996612171269,13.924612795013076,2016.0,https://fallingstar-data.com/forcedphot/queue/2931656/,wd_atlas/job2931656.txt,18.393797119528564,0.0092656324076276,18.407765975561897,0.0076529797035745,18.422529627912063,0.0111891571264822,18.42634425276613,0.0088183173462143,18.39004357841041,0.0123190146556247,18.38000547631631,0.0124659159580473,18.383919545677717,0.0071181096155198,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,17.95415667100337,0.0076705526622594,-99999.0,-99999.0,18.009587929323057,0.017429000848454,17.964623410711354,0.0075078211572318,17.97060868717727,0.0073994592067342,17.967589006376098,0.0052447018276621,-99999.0,-99999.0,-99999.0,-99999.0,True,12:14:05.111,45:38:18.626,17.358,0.009,17.7,0.005,18.197,0.0069999999999999,18.54,0.012,18.763,0.034,17.779,0.006,18.236,0.0069999999999999,18.56900000000001,0.01,18.849,0.018,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
18,18,sdssj130234,Gaia DR3 3734528631432609920,195.6434265068369,10.210754591575917,-12.856134775128252,-16.837093714579446,2016.0,https://fallingstar-data.com/forcedphot/queue/2931657/,wd_atlas/job2931657.txt,17.666315531698118,0.0046294216401815,17.650537314246513,0.0038438612373609,17.66128955288411,0.006854002495712,17.6609863413491,0.0055043904694139,17.648222615958236,0.0062884554207096,17.632922155800536,0.0067941495368256,17.642220708555552,0.0042357057236261,17.641175631455642,0.0064287083099469,17.607123416487607,0.0056614256909827,-99999.0,-99999.0,17.22624715801706,0.0043666534494464,-99999.0,-99999.0,-99999.0,-99999.0,17.2364597438321,0.0039647443065026,17.224330620024336,0.0035705180881387,17.23130211663473,0.0040499057748084,17.204141080786847,0.0050289917960684,17.193724128979987,0.0052955258244182,True,13:02:34.422,10:12:38.717,16.637,0.008,16.982,0.004,17.468,0.006,17.842,0.0069999999999999,18.146,0.028,17.052,0.004,17.494,0.005,17.858,0.006,18.114,0.009,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
19,19,sdssj131445,Gaia DR3 3684543213630134784,198.6876897987717,-3.2376903812356908,-3.9297032814555095,-5.658924901910843,2016.0,https://fallingstar-data.com/forcedphot/queue/2931658/,wd_atlas/job2931658.txt,19.7794246051012,0.0314362296061157,19.70434939080184,0.0264771448978973,19.74562447688529,0.0434285587784182,19.638542732994413,0.0352111318630762,19.732289438822736,0.0417535933798139,19.70392664915208,0.0477594019511005,19.685599133893987,0.0313041016684679,19.73009741217704,0.0375695738754423,19.652834379780877,0.0336833077611279,-99999.0,-99999.0,19.316541556091103,0.0270423241081002,-99999.0,-99999.0,19.611530548798868,0.2653490112611783,19.291143397094647,0.0294876115356149,19.310021858400507,0.022296339966386,19.28139429201516,0.0250641780924187,19.27524750071245,0.0227067512283439,19.223216719370047,0.024003771687609,True,13:14:45.046,-03:14:15.685,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.078,0.013,19.556,0.023,19.887,0.029,20.24,0.06,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
