survey,ATLAS-c0,ATLAS-o0,ATLAS-c1,ATLAS-o1,ATLAS-c2,ATLAS-o2,ATLAS-c3,ATLAS-o3,ATLAS-c4,ATLAS-o4,ATLAS-c5,ATLAS-o5,ATLAS-c6,ATLAS-o6,ATLAS-c7,ATLAS-o7,ATLAS-c8,ATLAS-o8,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.02026407357469,17.67452575314988,-999.0,-999.0,18.26180076599121,17.767799377441406,17.58370018005371,17.525100708007812,31.00355273755075,0.5280444465154457
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.010914138282168,17.641423374184907,18.26180076599121,17.767799377441406,17.58370018005371,17.525100708007812,31.00355273755075,0.5280444465154457
ATLAS,-999.0,17.56957348137692,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.19860076904297,17.66349983215332,17.451000213623047,17.379100799560547,31.005239054407916,0.26924685439938056
ATLAS,-999.0,-999.0,17.95608942767872,17.571710662471663,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.19860076904297,17.66349983215332,17.451000213623047,17.379100799560547,31.005239054407916,0.26924685439938056
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,17.555768928663184,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.19860076904297,17.66349983215332,17.451000213623047,17.379100799560547,31.005239054407916,0.26924685439938056
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.9559223108378,17.5685023748835,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.19860076904297,17.66349983215332,17.451000213623047,17.379100799560547,31.005239054407916,0.26924685439938056
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.93093472018133,17.56508069426732,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.19860076904297,17.66349983215332,17.451000213623047,17.379100799560547,31.005239054407916,0.26924685439938056
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.93705125881127,17.55487812261506,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.19860076904297,17.66349983215332,17.451000213623047,17.379100799560547,31.005239054407916,0.26924685439938056
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.925397335189807,17.547106632750207,-999.0,-999.0,-999.0,-999.0,18.19860076904297,17.66349983215332,17.451000213623047,17.379100799560547,31.005239054407916,0.26924685439938056
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.931920625875577,17.553889143813883,-999.0,-999.0,18.19860076904297,17.66349983215332,17.451000213623047,17.379100799560547,31.005239054407916,0.26924685439938056
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.933408904748052,17.525758837083018,18.19860076904297,17.66349983215332,17.451000213623047,17.379100799560547,31.005239054407916,0.26924685439938056
ATLAS,-999.0,17.753149308154658,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.647199630737305,17.90570068359375,17.55820083618164,17.368799209594727,31.00870716043836,0.42679614344658756
ATLAS,-999.0,-999.0,18.30494066660539,17.752434660926546,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.647199630737305,17.90570068359375,17.55820083618164,17.368799209594727,31.00870716043836,0.42679614344658756
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,17.733706577466602,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.647199630737305,17.90570068359375,17.55820083618164,17.368799209594727,31.00870716043836,0.42679614344658756
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.302827817034988,17.756130804344398,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.647199630737305,17.90570068359375,17.55820083618164,17.368799209594727,31.00870716043836,0.42679614344658756
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.27534815936749,17.73647321547651,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.647199630737305,17.90570068359375,17.55820083618164,17.368799209594727,31.00870716043836,0.42679614344658756
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.27216258529945,17.733923693072214,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.647199630737305,17.90570068359375,17.55820083618164,17.368799209594727,31.00870716043836,0.42679614344658756
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.26464253964665,17.725311478606482,-999.0,-999.0,-999.0,-999.0,18.647199630737305,17.90570068359375,17.55820083618164,17.368799209594727,31.00870716043836,0.42679614344658756
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.272191443592067,17.731441566056496,-999.0,-999.0,18.647199630737305,17.90570068359375,17.55820083618164,17.368799209594727,31.00870716043836,0.42679614344658756
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.290842026123155,17.713480923562216,18.647199630737305,17.90570068359375,17.55820083618164,17.368799209594727,31.00870716043836,0.42679614344658756
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.74937474627297,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.6781005859375,17.87820053100586,17.535600662231445,17.380399703979492,31.010593653926787,1.1093347437545154
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.24963210987407,17.729019854271733,-999.0,-999.0,-999.0,-999.0,18.6781005859375,17.87820053100586,17.535600662231445,17.380399703979492,31.010593653926787,1.1093347437545154
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.29986244830155,17.730449470042323,-999.0,-999.0,18.6781005859375,17.87820053100586,17.535600662231445,17.380399703979492,31.010593653926787,1.1093347437545154
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.3062916696667,17.68490566940155,18.6781005859375,17.87820053100586,17.535600662231445,17.380399703979492,31.010593653926787,1.1093347437545154
ATLAS,-999.0,16.830093693307607,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.614099502563477,17.384599685668945,16.36520004272461,15.904899597167969,31.012755542547776,0.482035820641167
ATLAS,-999.0,-999.0,18.001570718137692,16.830488765373854,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.614099502563477,17.384599685668945,16.36520004272461,15.904899597167969,31.012755542547776,0.482035820641167
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,16.82427342807264,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.614099502563477,17.384599685668945,16.36520004272461,15.904899597167969,31.012755542547776,0.482035820641167
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.03395926838753,16.83023514826572,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.614099502563477,17.384599685668945,16.36520004272461,15.904899597167969,31.012755542547776,0.482035820641167
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.976386333253856,16.835485425876932,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.614099502563477,17.384599685668945,16.36520004272461,15.904899597167969,31.012755542547776,0.482035820641167
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.968953726786026,16.82841065091002,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.614099502563477,17.384599685668945,16.36520004272461,15.904899597167969,31.012755542547776,0.482035820641167
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.959553934373826,16.821421476876985,-999.0,-999.0,-999.0,-999.0,18.614099502563477,17.384599685668945,16.36520004272461,15.904899597167969,31.012755542547776,0.482035820641167
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.986235251425203,16.8221989643479,-999.0,-999.0,18.614099502563477,17.384599685668945,16.36520004272461,15.904899597167969,31.012755542547776,0.482035820641167
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.991136078021995,16.798380901881057,18.614099502563477,17.384599685668945,16.36520004272461,15.904899597167969,31.012755542547776,0.482035820641167
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.992988938180662,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.774700164794922,18.535499572753906,17.55340003967285,17.128799438476562,31.017264642418784,1.1979088579223065
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.119720466750984,17.997206656190492,-999.0,-999.0,-999.0,-999.0,19.774700164794922,18.535499572753906,17.55340003967285,17.128799438476562,31.017264642418784,1.1979088579223065
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.10670185573116,18.02400399539289,-999.0,-999.0,19.774700164794922,18.535499572753906,17.55340003967285,17.128799438476562,31.017264642418784,1.1979088579223065
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.148124889004592,17.98561932708784,19.774700164794922,18.535499572753906,17.55340003967285,17.128799438476562,31.017264642418784,1.1979088579223065
ATLAS,-999.0,17.224175032513646,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.72480010986328,17.301799774169922,17.114700317382812,17.049400329589844,31.02271379522416,0.4364575090678049
ATLAS,-999.0,-999.0,17.542561398446182,17.224479718232537,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.72480010986328,17.301799774169922,17.114700317382812,17.049400329589844,31.02271379522416,0.4364575090678049
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,17.23465887198145,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.72480010986328,17.301799774169922,17.114700317382812,17.049400329589844,31.02271379522416,0.4364575090678049
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.53841743429706,17.220259249442325,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.72480010986328,17.301799774169922,17.114700317382812,17.049400329589844,31.02271379522416,0.4364575090678049
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.523433682316618,17.209123681013182,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.72480010986328,17.301799774169922,17.114700317382812,17.049400329589844,31.02271379522416,0.4364575090678049
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.52896443318007,17.198278427040105,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.72480010986328,17.301799774169922,17.114700317382812,17.049400329589844,31.02271379522416,0.4364575090678049
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.524344036343365,17.20400409095457,-999.0,-999.0,-999.0,-999.0,17.72480010986328,17.301799774169922,17.114700317382812,17.049400329589844,31.02271379522416,0.4364575090678049
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.51998576009001,17.205567992537542,-999.0,-999.0,17.72480010986328,17.301799774169922,17.114700317382812,17.049400329589844,31.02271379522416,0.4364575090678049
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.518126146575188,17.18555802512575,17.72480010986328,17.301799774169922,17.114700317382812,17.049400329589844,31.02271379522416,0.4364575090678049
ATLAS,-999.0,17.87472374227539,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.417400360107422,17.920000076293945,17.72279930114746,17.64780044555664,31.026295061069682,0.875643979008961
ATLAS,-999.0,-999.0,18.223089056144133,17.828341179380967,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.417400360107422,17.920000076293945,17.72279930114746,17.64780044555664,31.026295061069682,0.875643979008961
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,17.869862880546197,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.417400360107422,17.920000076293945,17.72279930114746,17.64780044555664,31.026295061069682,0.875643979008961
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.224673795648748,17.838063765829332,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.417400360107422,17.920000076293945,17.72279930114746,17.64780044555664,31.026295061069682,0.875643979008961
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.179090653119573,17.822490917451997,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.417400360107422,17.920000076293945,17.72279930114746,17.64780044555664,31.026295061069682,0.875643979008961
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.175759016904298,17.820413456630984,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.417400360107422,17.920000076293945,17.72279930114746,17.64780044555664,31.026295061069682,0.875643979008961
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.18162944263417,17.809728886902285,-999.0,-999.0,-999.0,-999.0,18.417400360107422,17.920000076293945,17.72279930114746,17.64780044555664,31.026295061069682,0.875643979008961
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.186933404816696,17.818739379509726,-999.0,-999.0,18.417400360107422,17.920000076293945,17.72279930114746,17.64780044555664,31.026295061069682,0.875643979008961
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.18861006603059,17.79715995234104,18.417400360107422,17.920000076293945,17.72279930114746,17.64780044555664,31.026295061069682,0.875643979008961
ATLAS,-999.0,17.687655529274203,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.39349937438965,17.80069923400879,17.536699295043945,17.42770004272461,31.03093466820088,0.7079111832611331
ATLAS,-999.0,-999.0,18.12593688690488,17.67688962642353,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.39349937438965,17.80069923400879,17.536699295043945,17.42770004272461,31.03093466820088,0.7079111832611331
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,17.691811122780408,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.39349937438965,17.80069923400879,17.536699295043945,17.42770004272461,31.03093466820088,0.7079111832611331
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.11140691324828,17.682307431848262,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.39349937438965,17.80069923400879,17.536699295043945,17.42770004272461,31.03093466820088,0.7079111832611331
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.107521343266363,17.659956065011322,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.39349937438965,17.80069923400879,17.536699295043945,17.42770004272461,31.03093466820088,0.7079111832611331
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.09461799471976,17.67159711007577,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.39349937438965,17.80069923400879,17.536699295043945,17.42770004272461,31.03093466820088,0.7079111832611331
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.09358026712408,17.66604753679949,-999.0,-999.0,-999.0,-999.0,18.39349937438965,17.80069923400879,17.536699295043945,17.42770004272461,31.03093466820088,0.7079111832611331
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.108498539950787,17.66328158393837,-999.0,-999.0,18.39349937438965,17.80069923400879,17.536699295043945,17.42770004272461,31.03093466820088,0.7079111832611331
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.113319155409773,17.645824784815265,18.39349937438965,17.80069923400879,17.536699295043945,17.42770004272461,31.03093466820088,0.7079111832611331
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.41923567988223,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.211299896240234,19.131900787353516,17.826099395751953,17.25670051574707,31.032793735121427,1.1787471473092845
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.73077028481984,18.393276919302377,-999.0,-999.0,-999.0,-999.0,20.211299896240234,19.131900787353516,17.826099395751953,17.25670051574707,31.032793735121427,1.1787471473092845
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.68685832217168,18.380142926939328,-999.0,-999.0,20.211299896240234,19.131900787353516,17.826099395751953,17.25670051574707,31.032793735121427,1.1787471473092845
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.715712025556947,18.37971938752444,20.211299896240234,19.131900787353516,17.826099395751953,17.25670051574707,31.032793735121427,1.1787471473092845
ATLAS,-999.0,16.68546705612539,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.41200065612793,17.2091007232666,16.23870086669922,15.795999526977539,31.040456843795706,0.6398198727659029
ATLAS,-999.0,-999.0,17.808747741214837,16.702044890029768,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.41200065612793,17.2091007232666,16.23870086669922,15.795999526977539,31.040456843795706,0.6398198727659029
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,16.686267529410806,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.41200065612793,17.2091007232666,16.23870086669922,15.795999526977539,31.040456843795706,0.6398198727659029
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.826573571868934,16.696781761080878,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.41200065612793,17.2091007232666,16.23870086669922,15.795999526977539,31.040456843795706,0.6398198727659029
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.787722817526845,16.69235428331919,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.41200065612793,17.2091007232666,16.23870086669922,15.795999526977539,31.040456843795706,0.6398198727659029
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.783333809904516,16.700685232376262,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.41200065612793,17.2091007232666,16.23870086669922,15.795999526977539,31.040456843795706,0.6398198727659029
