survey,PS1SN-g,PS1SN-r,PS1SN-i,PS1SN-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
PS1SN,18.5604,18.2439003,18.140899700000002,18.1245003,18.563499450683594,18.287099838256836,18.164899826049805,18.145299911499023,37.16722302,-3.75551347
PS1SN,17.4395008,17.3602009,17.2350998,17.073,17.391799926757812,17.443700790405273,17.278900146484375,17.101999282836914,37.22171334,-3.62697958
PS1SN,18.5083008,17.9594994,17.7556992,17.6828003,18.53860092163086,17.990800857543945,17.78510093688965,17.7052001953125,37.2261381,-3.67380408
PS1SN,18.0456009,17.267499899999997,16.9769001,16.8525009,18.07699966430664,17.31570053100586,17.007299423217773,16.885400772094727,37.293722,-3.84086595
PS1SN,17.996799499999998,17.434299499999998,17.1865997,17.084199899999998,18.01609992980957,17.466299057006836,17.20400047302246,17.102699279785156,37.25419819,-3.70386876
PS1SN,17.845800399999998,17.6382999,17.5779991,17.582799899999998,17.858299255371094,17.652299880981445,17.585500717163086,17.59119987487793,37.35385722,-3.68295645
PS1SN,18.3757,18.0428009,17.9241009,17.9074993,18.38330078125,18.076000213623047,17.94099998474121,17.93429946899414,37.32920838,-3.82647351
PS1SN,18.8598003,18.6233997,18.5442009,18.551000600000002,18.859899520874023,18.622499465942383,18.542400360107422,18.53219985961914,37.36740279,-3.71206861
PS1SN,18.607200600000002,18.0032997,17.7675991,17.670000100000003,18.63050079345703,18.042699813842773,17.786699295043945,17.69700050354004,37.35840521,-3.88679199
PS1SN,18.4375992,18.0491009,17.9165001,17.8862,18.439899444580078,18.100500106811523,17.941200256347656,17.901199340820312,37.33221636,-3.89418031
PS1SN,18.7621002,17.8862,17.5543995,17.414600399999998,18.80229949951172,17.920700073242188,17.58049964904785,17.444599151611328,37.37049162,-3.94124112
PS1SN,18.4470005,17.9599991,17.7735996,17.6991997,18.47909927368164,18.003599166870117,17.791400909423828,17.716999053955078,37.36976288,-3.90371151
PS1SN,18.895299899999998,18.1921997,17.9167995,17.796899800000002,18.932899475097656,18.230100631713867,17.934099197387695,17.824600219726562,37.35298089,-3.93575898
PS1SN,18.6488991,18.3561993,18.2619991,18.2462006,18.6835994720459,18.405000686645508,18.289499282836914,18.274099349975586,37.3646,-3.93835672
PS1SN,17.553800600000002,17.024299600000003,16.842100100000003,16.7796993,17.582199096679688,17.047700881958008,16.838300704956055,16.788799285888672,37.37626533,-3.83805417
PS1SN,18.7252007,17.7437992,17.345399899999997,17.1692009,18.764299392700195,17.777999877929688,17.357500076293945,17.185400009155273,37.34115861,-3.83979677
PS1SN,18.3827,17.8278008,17.6133995,17.5287991,18.405099868774414,17.85580062866211,17.617399215698242,17.534900665283203,37.38066436,-3.84036208
PS1SN,18.6210995,18.1359005,17.9881001,17.9426994,18.644500732421875,18.15730094909668,17.998300552368164,17.956600189208984,37.38952478,-3.84783609
PS1SN,17.415700899999997,16.9703007,16.8286991,16.7989998,17.445199966430664,17.018199920654297,16.8533992767334,16.831100463867188,37.37277322,-3.95946514
PS1SN,18.8075008,18.0077991,17.6928005,17.5436993,18.82710075378418,18.048599243164062,17.696500778198242,17.554500579833984,37.3948865,-3.87345841
PS1SN,18.6310005,18.1865005,18.0273991,17.975599300000003,18.658199310302734,18.208099365234375,18.027999877929688,18.000999450683594,37.39165182,-3.85893874
PS1SN,18.0018997,17.4358997,17.214300199999997,17.1145992,18.038000106811523,17.479999542236328,17.23270034790039,17.138999938964844,37.04562125,-3.8208477
PS1SN,17.7721004,17.439800299999998,17.340599100000002,17.3192005,17.799299240112305,17.473400115966797,17.356300354003906,17.351999282836914,37.06286928,-3.86381853
PS1SN,18.9741001,17.791099499999998,17.2138996,16.9384995,18.992900848388672,17.82229995727539,17.238300323486328,16.97599983215332,37.11845511,-3.81532667
PS1SN,17.8553009,17.493499800000002,17.3689003,17.3369999,17.868999481201172,17.5398006439209,17.39579963684082,17.362499237060547,37.1767111,-3.87064792
PS1SN,18.7437992,17.8502007,17.4599991,17.270399100000002,18.76729965209961,17.869199752807617,17.48259925842285,17.299800872802734,37.08597363,-3.77969855
PS1SN,18.2162991,17.6450996,17.4470005,17.370500600000003,18.2367000579834,17.67799949645996,17.47279930114746,17.386600494384766,37.05226592,-3.77672851
PS1SN,17.8005009,17.1457005,16.8766003,16.7563,17.81439971923828,17.181100845336914,16.893400192260742,16.788700103759766,37.17659392,-3.8644857
PS1SN,18.421899800000002,17.7346992,17.477100399999998,17.3672009,18.442800521850586,17.770999908447266,17.495100021362305,17.388099670410156,37.14395451,-3.80488667
PS1SN,17.6767998,17.236000100000002,17.096000699999998,17.0587006,17.69969940185547,17.27910041809082,17.12529945373535,17.098100662231445,37.1791116,-3.82372466
PS1SN,18.1681995,17.9363995,17.8803997,17.8857002,18.194599151611328,17.957500457763672,17.899499893188477,17.92020034790039,37.04036761,-3.87757876
PS1SN,18.8626003,18.5664005,18.470600100000002,18.4526997,18.89579963684082,18.589500427246094,18.484600067138672,18.484899520874023,37.07766632,-3.76230841
PS1SN,18.974599800000004,18.6212997,18.4955997,18.457500500000002,18.997800827026367,18.660400390625,18.51180076599121,18.495500564575195,37.069405,-3.79013316
PS1SN,17.9363995,17.6508999,17.5632,17.5533009,17.9596004486084,17.69230079650879,17.582799911499023,17.57349967956543,37.13316259,-3.97993146
PS1SN,17.886299100000002,17.469101000000002,17.2973003,17.226999300000003,17.907800674438477,17.502399444580078,17.316699981689453,17.248199462890625,37.10866613,-3.85254479
PS1SN,17.8278008,17.300300600000003,17.074699399999997,16.981000899999998,17.86669921875,17.3302001953125,17.09440040588379,17.01020050048828,37.19679574,-4.07030869
PS1SN,17.860799800000002,17.1963997,16.924900100000002,16.8080997,17.88170051574707,17.249799728393555,16.958099365234375,16.837299346923828,37.31226759,-4.01772392
PS1SN,18.9531994,17.710300399999998,16.9272995,16.5585003,18.975099563598633,17.7455997467041,16.94729995727539,16.587900161743164,37.31181303,-4.02680547
PS1SN,18.6476002,17.5475998,17.058000600000003,16.834400199999997,18.673500061035156,17.583900451660156,17.082199096679688,16.871599197387695,37.31512428,-3.93493773
PS1SN,18.7549992,17.6734009,17.218500100000004,17.0084,18.775999069213867,17.712200164794922,17.236400604248047,17.04990005493164,37.19460857,-3.96082656
PS1SN,18.1574993,17.5060005,17.2656994,17.1714993,18.186100006103516,17.550399780273438,17.298599243164062,17.19729995727539,37.31024662,-3.96799802
PS1SN,18.701099399999997,17.930999800000002,17.644899399999996,17.5188007,18.736000061035156,17.97330093383789,17.66699981689453,17.551000595092773,37.2109942,-4.02802303
PS1SN,17.9531994,17.9241009,17.6763,17.6536007,17.99850082397461,17.996700286865234,17.72089958190918,17.65559959411621,37.11751,-4.01233728
PS1SN,18.0125008,17.832500500000002,17.8138008,17.853300100000002,18.045000076293945,17.879899978637695,17.837400436401367,17.877300262451172,37.35973761,-3.97960089
PS1SN,18.7970009,18.2619991,18.050199499999998,17.9648991,18.813600540161133,18.292699813842773,18.07159996032715,18.01449966430664,37.21617057,-4.02350743
PS1SN,18.5224991,18.130899399999997,17.985500299999998,17.9484005,18.543800354003906,18.17009925842285,18.009700775146484,17.982500076293945,37.3519623,-3.95953092
PS1SN,17.3735008,17.3687,17.4391003,17.492799800000004,17.395000457763672,17.396900177001953,17.461299896240234,17.516399383544922,37.15812401,-4.06422988
PS1SN,18.7642994,17.9452,17.6368008,17.5027008,18.783700942993164,17.983200073242188,17.654800415039062,17.54680061340332,37.26209853,-3.96467628
PS1SN,17.9568005,17.381799700000002,17.173900600000003,17.1004009,17.974599838256836,17.42009925842285,17.19300079345703,17.115100860595703,37.38133918,-4.00822223
PS1SN,18.0564003,17.319299700000002,17.0438995,16.9298992,18.091400146484375,17.36520004272461,17.073999404907227,16.954599380493164,37.34788071,-4.1225263
PS1SN,17.478599499999998,17.2453003,17.1704006,17.1781998,17.505399703979492,17.282899856567383,17.194299697875977,17.193700790405273,37.36072346,-4.18773785
PS1SN,18.988500600000002,17.7994003,16.979499800000003,16.601699800000002,18.998300552368164,17.83989906311035,17.006000518798828,16.62350082397461,37.39513681,-4.26200155
PS1SN,18.7749004,17.822399100000002,17.418399800000003,17.2348003,18.74370002746582,17.858400344848633,17.437400817871094,17.257200241088867,37.35749729,-4.15293984
PS1SN,18.888900800000002,17.8202,17.3607006,17.153200100000003,18.888099670410156,17.833900451660156,17.375099182128906,17.155500411987305,37.43612819,-4.27175335
PS1SN,17.7213993,17.0734005,16.831499100000002,16.7367992,17.74920082092285,17.100200653076172,16.859800338745117,16.756000518798828,37.41154971,-4.11825131
PS1SN,18.5962009,17.6487007,17.2609997,17.087699899999997,18.631799697875977,17.673900604248047,17.269500732421875,17.087200164794922,37.42951123,-4.07478614
PS1SN,18.512599899999998,17.439899399999998,16.9451008,16.7152004,18.532800674438477,17.481399536132812,16.965299606323242,16.733299255371094,37.41738389,-4.12111489
PS1SN,18.2497005,17.746799499999998,17.5606003,17.5000992,18.27440071105957,17.777799606323242,17.57309913635254,17.521799087524414,37.44482943,-4.19938508
PS1SN,18.9778004,18.5457001,18.3855991,18.3351002,19.010400772094727,18.57270050048828,18.41309928894043,18.356199264526367,37.04025495,-4.01015696
PS1SN,17.283399600000003,16.921100600000003,16.8041992,16.781999600000002,17.292299270629883,16.969600677490234,16.83180046081543,16.81329917907715,37.14695156,-4.18089866
PS1SN,17.4999008,17.0361996,16.8743,16.8272991,17.515199661254883,17.065900802612305,16.900999069213867,16.85569953918457,37.06597647,-4.10221619
PS1SN,17.2826996,16.9524002,16.8400002,16.815399199999998,17.29520034790039,16.990100860595703,16.86440086364746,16.846399307250977,37.08505138,-4.11768773
PS1SN,18.9167995,17.6763,16.9536991,16.6180992,18.947999954223633,17.724700927734375,16.986299514770508,16.646099090576172,37.0595541,-4.17680343
PS1SN,18.8150997,17.725999800000004,17.243499800000002,17.021400500000002,18.84320068359375,17.76219940185547,17.26180076599121,17.05030059814453,37.16615565,-4.20707194
PS1SN,17.5571003,17.2654991,17.2185993,17.2721004,17.54669952392578,17.313499450683594,17.265600204467773,17.297500610351562,37.09669534,-4.20662704
