survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
SNLS,17.5771,17.3453,17.2756,17.2639,17.5749,17.356,17.2756,17.2724,36.4406,-4.89289,0.0833287,0.0588192,0.0430709,0.0336404,0.0846189,0.0599001,0.0442834,0.034973
SNLS,18.9602,18.5303,18.3611,18.2928,18.9703,18.5333,18.3629,18.3409,36.6158,-4.89046,0.0794516,0.0560825,0.0410669,0.0320751,0.0806818,0.0571131,0.042223,0.0333458
SNLS,17.287,16.8861,16.7454,16.6926,17.3006,16.8869,16.7559,16.7203,36.756,-4.88518,0.0747427,0.0527586,0.038633,0.0301741,0.0759,0.0537281,0.0397205,0.0313695
SNLS,18.2647,17.9044,17.7738,17.725,18.25,17.907,17.7741,17.7323,36.1218,-4.88456,0.0863001,0.0609167,0.0446068,0.03484,0.0876364,0.0620361,0.0458625,0.0362202
SNLS,17.7736,17.0838,16.7956,16.6471,17.7837,17.1135,16.8157,16.6794,36.6543,-4.87202,0.0746173,0.0526701,0.0385682,0.0301235,0.0757727,0.053638,0.0396539,0.0313169
SNLS,17.6913,17.2304,17.0659,17.0032,17.6923,17.2366,17.0713,17.013,36.5788,-4.8635,0.0797592,0.0562996,0.0412259,0.0321993,0.0809941,0.0573342,0.0423864,0.0334749
SNLS,17.6127,17.2909,17.1895,17.1717,17.619,17.2922,17.1992,17.1964,36.8492,-4.86142,0.0821056,0.0579559,0.0424388,0.0331466,0.0833769,0.0590209,0.0436334,0.0344597
SNLS,17.6306,17.3151,17.2157,17.1886,17.6338,17.3223,17.2139,17.1929,36.2318,-4.84545,0.0862424,0.0608759,0.044577,0.0348166,0.0875777,0.0619946,0.0458318,0.0361959
SNLS,17.3387,16.8328,16.6648,16.5983,17.3414,16.8556,16.6736,16.6073,36.1896,-4.83468,0.0854538,0.0603192,0.0441694,0.0344983,0.0867769,0.0614277,0.0454127,0.035865
SNLS,17.9034,17.5254,17.4068,17.3678,17.9005,17.5402,17.4014,17.3762,36.5164,-4.83414,0.0799092,0.0564055,0.0413035,0.0322599,0.0811465,0.057442,0.0424662,0.0335379
SNLS,17.8555,17.2269,16.9916,16.8878,17.8757,17.2438,17.0091,16.9098,36.8107,-4.80639,0.0821771,0.0580063,0.0424757,0.0331755,0.0834495,0.0590723,0.0436714,0.0344897
SNLS,18.3255,17.7368,17.4834,17.3649,18.3259,17.7492,17.4944,17.3885,36.6383,-4.80024,0.0758162,0.0535164,0.0391879,0.0306075,0.0769902,0.0544998,0.0402911,0.0318201
SNLS,17.5918,16.9535,16.72,16.6113,17.6106,16.9726,16.7281,16.6326,36.0582,-4.78907,0.0853241,0.0602277,0.0441024,0.0344459,0.0866453,0.0613345,0.0453439,0.0358105
SNLS,17.9772,17.6591,17.5677,17.5469,17.9752,17.6542,17.5748,17.565,36.1066,-4.78167,0.0840596,0.0593351,0.0434487,0.0339354,0.0853611,0.0604255,0.0446718,0.0352798
SNLS,18.9393,18.1856,17.8855,17.744,18.9356,18.2089,17.8963,17.7686,36.2259,-4.77664,0.0832844,0.0587879,0.043048,0.0336225,0.0845739,0.0598682,0.0442599,0.0349545
SNLS,18.3286,17.9254,17.7747,17.7272,18.3375,17.9122,17.7815,17.7546,36.7991,-4.7756,0.0836652,0.0590568,0.0432449,0.0337762,0.0849607,0.060142,0.0444623,0.0351143
SNLS,17.4029,17.0346,16.9141,16.8734,17.4034,17.0398,16.9085,16.8899,36.0439,-4.77351,0.0864818,0.0610449,0.0447007,0.0349133,0.0878209,0.0621667,0.0459591,0.0362964
SNLS,17.448,16.8097,16.5722,16.4653,17.4663,16.8384,16.5899,16.4956,36.2482,-4.77172,0.0845021,0.0596475,0.0436775,0.0341141,0.0858105,0.0607436,0.044907,0.0354655
