survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3S,18.0964,17.5019,17.0077,16.6298,17.6824,17.2217,17.0388,16.9785,270.473,26.3317,0.311867,0.239232,0.181287,0.132383,0.278849,0.197392,0.145929,0.115248
CFA3S,17.2327,16.4312,15.854,15.4354,16.7157,16.1055,15.8814,15.7943,270.47,26.2055,0.349326,0.267966,0.203062,0.148284,0.312342,0.221101,0.163457,0.129091
CFA3S,18.4211,17.5889,17.0774,16.6831,17.8512,17.3157,17.1363,17.0627,270.46,26.3279,0.315639,0.242125,0.183479,0.133984,0.282221,0.199779,0.147694,0.116642
CFA3S,18.0794,17.5152,17.0757,16.6837,17.6714,17.2932,17.1227,17.0575,270.43,26.3349,0.317441,0.243507,0.184527,0.134749,0.283833,0.20092,0.148538,0.117308
CFA3S,17.1307,16.3882,15.8603,15.4591,16.6763,16.1287,15.9249,15.8403,270.424,26.2926,0.333768,0.256032,0.194018,0.14168,0.298431,0.211254,0.156177,0.123342
CFA3S,18.7767,18.1972,17.7373,17.3907,18.3747,17.9464,17.79,17.7557,270.407,26.3172,0.329852,0.253028,0.191742,0.140018,0.29493,0.208775,0.154345,0.121895
CFA3S,17.7716,17.1105,16.6231,16.2201,17.3375,16.886,16.6892,16.6238,270.407,26.2408,0.343708,0.263656,0.199796,0.145899,0.307319,0.217545,0.160828,0.127015
CFA3S,17.7431,17.2142,16.7863,16.4251,17.3927,17.0101,16.8483,16.8061,270.388,26.3414,0.319802,0.245319,0.1859,0.135752,0.285944,0.202414,0.149642,0.118181
CFA3S,18.0808,17.6409,17.2207,16.8758,17.73,17.4274,17.2856,17.2506,270.384,26.2257,0.345316,0.26489,0.200731,0.146582,0.308756,0.218563,0.161581,0.127609
CFA3S,17.2441,16.6236,16.1427,15.7345,16.8389,16.3612,16.1673,16.0993,270.381,26.1932,0.350649,0.268981,0.203831,0.148846,0.313525,0.221938,0.164076,0.12958
CFA3S,17.7235,17.0906,16.6124,16.3248,17.2793,16.8338,16.6612,16.5913,270.379,26.2041,0.347942,0.266905,0.202257,0.147697,0.311105,0.220225,0.16281,0.12858
CFA3S,16.8595,16.1186,15.5884,15.1841,16.3911,15.8387,15.6275,15.552,270.348,26.2836,0.338107,0.25936,0.19654,0.143522,0.302311,0.214,0.158207,0.124945
CFA3S,17.0361,16.4029,15.9344,15.5514,16.6551,16.21,16.0267,15.9575,270.327,26.3191,0.32596,0.250042,0.189479,0.138365,0.29145,0.206311,0.152524,0.120456
CFA3S,18.3441,17.6769,17.1807,16.7431,17.9079,17.4157,17.2223,17.1435,270.325,26.2962,0.334606,0.256674,0.194505,0.142036,0.29918,0.211784,0.156569,0.123651
