survey,ATLAS-c0,ATLAS-o0,ATLAS-c1,ATLAS-o1,ATLAS-c2,ATLAS-o2,ATLAS-c3,ATLAS-o3,ATLAS-c4,ATLAS-o4,ATLAS-c5,ATLAS-o5,ATLAS-c6,ATLAS-o6,ATLAS-c7,ATLAS-o7,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ATLAS-c0_AV,ATLAS-o0_AV,ATLAS-c1_AV,ATLAS-o1_AV,ATLAS-c2_AV,ATLAS-o2_AV,ATLAS-c3_AV,ATLAS-o3_AV,ATLAS-c4_AV,ATLAS-o4_AV,ATLAS-c5_AV,ATLAS-o5_AV,ATLAS-c6_AV,ATLAS-o6_AV,ATLAS-c7_AV,ATLAS-o7_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ATLAS,-999,17.8188,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.2058,17.8454,17.7076,17.6629,31.0719,0.273995,0.067946,0.0481255,0.067946,0.0481255,0.067946,0.0481255,0.067946,0.0481255,0.067946,0.0481255,0.067946,0.0481255,0.067946,0.0481255,0.067946,0.0481255,0.0790307,0.0559443,0.0413589,0.0326634
ATLAS,-999,17.6887,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.2618,17.7678,17.5837,17.5251,31.0036,0.528044,0.0645501,0.0457203,0.0645501,0.0457203,0.0645501,0.0457203,0.0645501,0.0457203,0.0645501,0.0457203,0.0645501,0.0457203,0.0645501,0.0457203,0.0645501,0.0457203,0.0750808,0.0531482,0.0392918,0.0310309
ATLAS,-999,17.4581,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.325,17.5842,17.3083,17.1949,31.5258,0.548382,0.0695458,0.0492586,0.0695458,0.0492586,0.0695458,0.0492586,0.0695458,0.0492586,0.0695458,0.0492586,0.0695458,0.0492586,0.0695458,0.0492586,0.0695458,0.0492586,0.0808914,0.0572614,0.0423327,0.0334325
ATLAS,-999,17.1901,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0144,17.3269,17.0455,16.9369,31.3737,0.558917,0.0654883,0.0463848,0.0654883,0.0463848,0.0654883,0.0463848,0.0654883,0.0463848,0.0654883,0.0463848,0.0654883,0.0463848,0.0654883,0.0463848,0.0654883,0.0463848,0.0761721,0.0539207,0.0398629,0.031482
ATLAS,-999,17.2242,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.7248,17.3018,17.1147,17.0494,31.0227,0.436458,0.0664675,0.0470783,0.0664675,0.0470783,0.0664675,0.0470783,0.0664675,0.0470783,0.0664675,0.0470783,0.0664675,0.0470783,0.0664675,0.0470783,0.0664675,0.0470783,0.077311,0.0547269,0.040459,0.0319527
ATLAS,-999,17.9761,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.4389,18.0213,17.8721,17.8165,31.1926,0.283816,0.0694438,0.0491864,0.0694438,0.0491864,0.0694438,0.0491864,0.0694438,0.0491864,0.0694438,0.0491864,0.0694438,0.0491864,0.0694438,0.0491864,0.0694438,0.0491864,0.0807728,0.0571775,0.0422706,0.0333835
ATLAS,-999,17.612,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.1982,17.6887,17.4655,17.3801,31.1584,0.320302,0.067956,0.0481326,0.067956,0.0481326,0.067956,0.0481326,0.067956,0.0481326,0.067956,0.0481326,0.067956,0.0481326,0.067956,0.0481326,0.067956,0.0481326,0.0790424,0.0559525,0.041365,0.0326682
ATLAS,-999,17.7757,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.5227,17.8827,17.6385,17.5364,31.1435,0.380042,0.0676568,0.0479207,0.0676568,0.0479207,0.0676568,0.0479207,0.0676568,0.0479207,0.0676568,0.0479207,0.0676568,0.0479207,0.0676568,0.0479207,0.0676568,0.0479207,0.0786942,0.0557061,0.0411828,0.0325244
ATLAS,-999,17.6843,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.3123,17.7731,17.5663,17.4758,31.2378,0.536338,0.0612219,0.0433629,0.0612219,0.0433629,0.0612219,0.0433629,0.0612219,0.0433629,0.0612219,0.0433629,0.0612219,0.0433629,0.0612219,0.0433629,0.0612219,0.0433629,0.0712096,0.0504079,0.037266,0.029431
ATLAS,-999,17.3751,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0279,17.4692,17.2605,17.192,31.1681,0.524821,0.0622568,0.0440959,0.0622568,0.0440959,0.0622568,0.0440959,0.0622568,0.0440959,0.0622568,0.0440959,0.0622568,0.0440959,0.0622568,0.0440959,0.0622568,0.0440959,0.0724134,0.05126,0.0378959,0.0299285
