survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
DES,18.853,18.425,18.2941,18.244,18.8141,18.4654,18.2933,18.2657,42.6723,0.887179,0.172578,0.114846,0.0840813,0.064049,0.170774,0.120888,0.0893708,0.0705811
DES,16.8749,16.2498,16.0541,15.9539,16.8422,16.2882,16.0685,15.9903,42.8256,0.981639,0.214208,0.142549,0.104364,0.079499,0.211969,0.150048,0.110929,0.0876068
DES,17.4509,16.5713,16.322,16.1793,17.3924,16.6229,16.3468,16.2193,42.4685,0.317109,0.193072,0.128483,0.0940658,0.0716547,0.191053,0.135243,0.0999834,0.0789625
DES,18.6723,17.9599,17.7409,17.6197,18.6504,18.0119,17.7703,17.6601,42.9918,0.820624,0.220751,0.146903,0.107552,0.0819274,0.218444,0.154632,0.114318,0.0902829
DES,15.6071,15.1519,15.0256,14.9454,15.5764,15.1501,14.9995,14.96,42.6669,0.879284,0.171511,0.114135,0.0835612,0.0636527,0.169718,0.12014,0.0888179,0.0701444
DES,18.2094,17.6881,17.5352,17.4564,18.1755,17.7269,17.5354,17.4808,43.2571,0.990987,0.248834,0.165592,0.121234,0.0923499,0.246233,0.174304,0.128861,0.101768
DES,18.3888,17.7675,17.5573,17.4411,18.3514,17.8138,17.5672,17.4743,42.0487,0.883945,0.156584,0.104202,0.076289,0.0581132,0.154948,0.109684,0.0810883,0.0640399
DES,18.7282,18.1243,17.9431,17.8533,18.7003,18.1618,17.9573,17.8523,41.8322,0.764772,0.120437,0.0801471,0.0586777,0.0446977,0.119178,0.0843637,0.062369,0.0492563
DES,18.781,18.3658,18.2241,18.1606,18.7448,18.3838,18.2409,18.1938,41.959,0.843951,0.144329,0.0960466,0.0703181,0.0535648,0.14282,0.1011,0.0747417,0.0590277
DES,18.2609,17.9059,17.7919,17.7515,18.2627,17.9316,17.8012,17.7644,41.9487,0.827499,0.141938,0.0944555,0.0691532,0.0526775,0.140454,0.0994248,0.0735036,0.0580498
