survey,CSP-g,CSP-r,CSP-i,CSP-B,CSP-V,CSP-o,CSP-m,CSP-n,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CSP-g_AV,CSP-r_AV,CSP-i_AV,CSP-B_AV,CSP-V_AV,CSP-o_AV,CSP-m_AV,CSP-n_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CSP,18.3171,17.7343,17.5234,18.6164,17.9853,17.9853,17.9853,17.9853,18.2182,17.7839,17.5661,17.4988,80.4266,6.61633,0.640413,0.441854,0.322489,0.697606,0.550005,0.542664,0.542664,0.542664,0.627848,0.444441,0.32857,0.25949
CSP,18.3775,17.7661,17.5085,18.7743,18.0391,18.0391,18.0391,18.0391,18.3175,17.7839,17.5441,17.4581,80.3961,6.67913,0.645411,0.445302,0.325005,0.70305,0.554297,0.546898,0.546898,0.546898,0.632747,0.447909,0.331134,0.261515
CSP,18.291,17.7125,17.4894,18.6569,17.9577,17.9577,17.9577,17.9577,18.2381,17.7617,17.5449,17.4548,80.5128,6.70764,0.674637,0.465466,0.339722,0.734886,0.579397,0.571663,0.571663,0.571663,0.6614,0.468192,0.346129,0.273357
CSP,18.4588,17.9727,17.7365,18.7041,18.1423,18.1423,18.1423,18.1423,18.4164,18.0204,17.8563,17.7909,80.4055,6.70174,0.652357,0.450094,0.328503,0.710617,0.560263,0.552785,0.552785,0.552785,0.639558,0.45273,0.334698,0.26433
CSP,18.5177,18.0358,17.8584,18.8476,18.2801,18.2801,18.2801,18.2801,18.4182,18.0149,17.8522,17.787,80.4919,6.64279,0.646444,0.446015,0.325526,0.704176,0.555185,0.547774,0.547774,0.547774,0.633761,0.448627,0.331664,0.261934
CSP,15.5551,14.8998,14.6575,15.9506,15.205,15.205,15.205,15.205,15.4761,14.8979,14.6779,14.6113,129.585,17.6303,0.0970183,0.0669379,0.0488549,0.105683,0.0833221,0.0822099,0.0822099,0.0822099,0.0951148,0.0673299,0.0497762,0.039311
CSP,16.8511,16.4086,16.2413,17.1573,16.5965,16.5965,16.5965,16.5965,16.7631,16.4038,16.2565,16.2213,129.565,17.5863,0.0930615,0.0642079,0.0468624,0.101372,0.0799239,0.0788571,0.0788571,0.0788571,0.0912356,0.0645839,0.0477461,0.0377077
CSP,17.9008,17.4804,17.3263,18.2564,17.6487,17.6487,17.6487,17.6487,17.8288,17.4683,17.3363,17.3259,129.553,17.6032,0.093697,0.0646463,0.0471824,0.102065,0.0804697,0.0793956,0.0793956,0.0793956,0.0918586,0.0650249,0.0480721,0.0379652
CSP,18.1732,17.5131,17.2515,18.5347,17.8064,17.8064,17.8064,17.8064,18.0264,17.4554,17.2494,17.1797,129.55,17.6455,0.0959773,0.0662196,0.0483306,0.104549,0.082428,0.0813278,0.0813278,0.0813278,0.0940941,0.0666074,0.049242,0.0388892
CSP,18.1333,17.6764,17.5273,18.4944,17.8571,17.8571,17.8571,17.8571,18.0571,17.6461,17.5074,17.4713,129.605,17.5738,0.091451,0.0630967,0.0460514,0.0996181,0.0785408,0.0774924,0.0774924,0.0774924,0.0896567,0.0634662,0.0469198,0.0370552
CSP,17.8018,17.3116,17.0844,18.1217,17.5421,17.5421,17.5421,17.5421,17.7312,17.321,17.1334,17.0654,191.574,11.9661,0.0832056,0.0574078,0.0418993,0.0906364,0.0714593,0.0705055,0.0705055,0.0705055,0.081573,0.057744,0.0426894,0.0337142
CSP,17.0535,16.442,16.2544,17.4836,16.7174,16.7174,16.7174,16.7174,16.9777,16.4928,16.3055,16.2395,191.659,11.9582,0.080747,0.0557114,0.0406612,0.0879582,0.0693478,0.0684222,0.0684222,0.0684222,0.0791627,0.0560377,0.041428,0.032718
CSP,16.5892,16.0705,15.9123,16.9483,16.2812,16.2812,16.2812,16.2812,16.512,16.096,15.9612,15.9343,191.667,11.8864,0.0825563,0.0569598,0.0415723,0.0899291,0.0709017,0.0699553,0.0699553,0.0699553,0.0809365,0.0572934,0.0423563,0.0334511
CSP,15.5587,15.0021,14.8034,15.9323,15.2368,15.2368,15.2368,15.2368,15.4852,15.0112,14.8422,14.7932,224.147,9.351,0.12842,0.0886031,0.0646674,0.139888,0.11029,0.108818,0.108818,0.108818,0.1259,0.089122,0.0658868,0.0520345
CSP,18.6978,17.9192,17.5887,19.0833,18.1815,18.1815,18.1815,18.1815,18.6088,17.9878,17.6974,17.5076,224.168,9.34903,0.128256,0.0884901,0.0645848,0.13971,0.11015,0.108679,0.108679,0.108679,0.125739,0.0890083,0.0658028,0.0519681
CSP,17.2,16.6982,16.4984,17.5257,16.8969,16.8969,16.8969,16.8969,17.1097,16.697,16.553,16.5008,224.219,9.37957,0.120265,0.0829767,0.0605609,0.131005,0.103287,0.101908,0.101908,0.101908,0.117905,0.0834627,0.0617029,0.0487302
CSP,16.4415,16.0431,15.9073,16.7096,16.1958,16.1958,16.1958,16.1958,16.3743,16.046,15.9358,15.9164,224.237,9.31972,0.118334,0.0816445,0.0595886,0.128902,0.101628,0.100272,0.100272,0.100272,0.116012,0.0821226,0.0607123,0.0479478
CSP,16.3594,15.8227,15.6513,16.7367,16.0615,16.0615,16.0615,16.0615,16.2724,15.8198,15.6448,15.5954,139.055,-16.3513,0.15718,0.108447,0.0791502,0.171217,0.134991,0.133189,0.133189,0.133189,0.154096,0.109082,0.0806428,0.0636881
CSP,17.1211,16.6825,16.5213,17.4537,16.868,16.868,16.868,16.868,17.0444,16.6503,16.5286,16.5003,139.055,-16.3552,0.155985,0.107622,0.0785484,0.169916,0.133965,0.132176,0.132176,0.132176,0.152925,0.108252,0.0800297,0.0632039
CSP,15.7399,15.3895,15.2962,16.0261,15.5319,15.5319,15.5319,15.5319,15.6669,15.3787,15.2845,15.2882,139.068,-16.3659,0.15122,0.104334,0.0761489,0.164725,0.129872,0.128139,0.128139,0.128139,0.148253,0.104945,0.0775849,0.0612731
CSP,16.9361,16.3548,16.1774,17.3339,16.6341,16.6341,16.6341,16.6341,16.8529,16.3563,16.1785,16.1306,139.071,-16.3423,0.158192,0.109145,0.0796596,0.172319,0.13586,0.134046,0.134046,0.134046,0.155088,0.109784,0.0811618,0.064098
CSP,17.6982,16.8905,16.6056,18.2042,17.3065,17.3065,17.3065,17.3065,17.6346,16.8751,16.595,16.4871,139.025,-16.3328,0.164108,0.113227,0.0826388,0.178764,0.140941,0.139059,0.139059,0.139059,0.160888,0.11389,0.0841972,0.0664952
CSP,17.0409,16.1847,15.8886,17.4797,16.5905,16.5905,16.5905,16.5905,16.935,16.1768,15.9016,15.7946,139.079,-16.2945,0.166691,0.115009,0.0839397,0.181578,0.143159,0.141248,0.141248,0.141248,0.163421,0.115682,0.0855226,0.0675419
