survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
SDSS,17.6245,17.0366,16.825,16.7306,17.5354,17.0254,16.8211,16.753,308.511,0.27874,0.376938,0.259022,0.191869,0.143375,0.363526,0.257333,0.190243,0.150245
SDSS,17.9609,17.061,16.7469,16.5623,17.8628,17.0496,16.7442,16.6107,308.511,-0.0230465,0.403397,0.277204,0.205337,0.153439,0.389043,0.275396,0.203597,0.160792
SDSS,18.3098,17.8302,17.6498,17.5772,18.2482,17.8401,17.6657,17.6196,308.511,0.284295,0.376988,0.259056,0.191895,0.143394,0.363574,0.257367,0.190268,0.150265
SDSS,18.0492,17.4727,17.2218,17.0853,17.9617,17.4707,17.232,17.1303,308.512,1.19502,0.312587,0.214801,0.159113,0.118898,0.301464,0.2134,0.157764,0.124595
SDSS,15.9023,15.3662,15.1921,15.1141,15.8319,15.3528,15.1878,15.1351,308.512,0.651612,0.323376,0.222216,0.164605,0.123002,0.31187,0.220766,0.16321,0.128896
SDSS,16.7978,16.1219,15.8806,15.7637,16.6984,16.1203,15.886,15.801,308.512,0.311652,0.376932,0.259018,0.191866,0.143373,0.36352,0.257329,0.19024,0.150243
SDSS,18.6903,18.3514,18.2387,18.1932,18.6589,18.3581,18.2503,18.2006,308.512,1.10289,0.306949,0.210928,0.156244,0.116753,0.296027,0.209552,0.154919,0.122348
SDSS,17.5062,16.8589,16.6276,16.5089,17.4113,16.8552,16.6317,16.5365,308.512,1.18271,0.311794,0.214256,0.158709,0.118596,0.300699,0.212859,0.157364,0.124279
SDSS,18.7489,17.9959,17.7359,17.6126,18.64,17.9829,17.7487,17.6564,308.512,0.786574,0.309197,0.212472,0.157388,0.117608,0.298195,0.211086,0.156054,0.123244
SDSS,16.5979,15.6358,15.2996,15.1074,16.4446,15.6284,15.3062,15.1568,308.512,-0.567966,0.584047,0.401342,0.297292,0.222152,0.563265,0.398724,0.294772,0.232798
SDSS,17.9308,17.256,17.0346,16.9069,17.8052,17.2585,17.0395,16.9556,308.513,-0.0803695,0.409434,0.281353,0.208411,0.155735,0.394866,0.279518,0.206644,0.163198
SDSS,18.1028,17.5468,17.3603,17.2743,18.0311,17.5443,17.3598,17.2968,308.513,1.24807,0.316252,0.21732,0.160979,0.120292,0.304999,0.215903,0.159614,0.126056
SDSS,17.5026,16.8854,16.6506,16.5224,17.4192,16.8628,16.6476,16.5533,308.514,-0.923408,0.602597,0.414088,0.306734,0.229208,0.581155,0.411388,0.304134,0.240192
SDSS,15.7966,15.1797,14.9518,14.8374,15.6996,15.1749,14.947,14.8639,308.514,-0.569399,0.58394,0.401268,0.297237,0.222111,0.563161,0.398651,0.294718,0.232755
SDSS,18.2497,17.6631,17.4681,17.3601,18.1829,17.6704,17.4658,17.395,308.514,1.06489,0.313153,0.215191,0.159401,0.119113,0.30201,0.213787,0.15805,0.124821
SDSS,18.7371,18.1868,17.9761,17.8882,18.6705,18.1858,17.9913,17.9079,308.514,1.08901,0.308213,0.211796,0.156887,0.117234,0.297246,0.210415,0.155557,0.122852
SDSS,18.7809,17.9065,17.6029,17.4314,18.647,17.904,17.6038,17.4807,308.515,1.15599,0.307292,0.211163,0.156418,0.116884,0.296357,0.209786,0.155092,0.122485
SDSS,16.745,15.9703,15.6763,15.5133,16.63,15.9575,15.6608,15.5346,308.516,-0.936009,0.599743,0.412128,0.305282,0.228123,0.578403,0.40944,0.302694,0.239054
SDSS,18.4806,18.0074,17.8214,17.7357,18.4044,17.9965,17.8272,17.7524,308.516,0.762732,0.308592,0.212056,0.15708,0.117378,0.297612,0.210673,0.155748,0.123003
