survey,Foundation-g,Foundation-r,Foundation-i,Foundation-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,Foundation-g_AV,Foundation-r_AV,Foundation-i_AV,Foundation-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
Foundation,18.9978,18.6604,18.5118,18.4955,19.0061,18.6701,18.5175,18.4824,37.0694,-3.79013,0.0942728,0.0667339,0.0493355,0.038963,0.0942728,0.0667339,0.0493355,0.038963
Foundation,17.9596,17.6923,17.5828,17.5735,17.9441,17.6789,17.5834,17.5856,37.1332,-3.97993,0.0903452,0.0639536,0.0472801,0.0373397,0.0903452,0.0639536,0.0472801,0.0373397
Foundation,17.9078,17.5024,17.3167,17.2482,17.8961,17.4967,17.3181,17.2473,37.1087,-3.85254,0.0943264,0.0667718,0.0493636,0.0389852,0.0943264,0.0667718,0.0493636,0.0389852
Foundation,17.8667,17.3302,17.0944,17.0102,17.8667,17.3392,17.1011,17.0223,37.1968,-4.07031,0.0823354,0.0582836,0.0430884,0.0340293,0.0823354,0.0582836,0.0430884,0.0340293
Foundation,17.8817,17.2498,16.9581,16.8373,17.887,17.2536,16.9475,16.8371,37.3123,-4.01772,0.0900136,0.0637189,0.0471066,0.0372027,0.0900136,0.0637189,0.0471066,0.0372027
Foundation,18.1861,17.5504,17.2986,17.1973,18.1897,17.5378,17.2861,17.1945,37.3102,-3.968,0.0910249,0.0644347,0.0476358,0.0376206,0.0910249,0.0644347,0.0476358,0.0376206
Foundation,18.8136,18.2927,18.0716,18.0145,18.8001,18.2716,18.0588,17.9924,37.2162,-4.02351,0.088624,0.0627352,0.0463794,0.0366283,0.088624,0.0627352,0.0463794,0.0366283
Foundation,18.5438,18.1701,18.0097,17.9825,18.5198,18.1666,18.0132,17.9994,37.352,-3.95953,0.0923141,0.0653473,0.0483105,0.0381535,0.0923141,0.0653473,0.0483105,0.0381535
Foundation,17.9746,17.4201,17.193,17.1151,17.9418,17.4209,17.182,17.1154,37.3813,-4.00822,0.0900756,0.0637628,0.047139,0.0372283,0.0900756,0.0637628,0.047139,0.0372283
Foundation,18.0914,17.3652,17.074,16.9546,18.0805,17.3594,17.0676,16.961,37.3479,-4.12253,0.0913887,0.0646923,0.0478262,0.037771,0.0913887,0.0646923,0.0478262,0.037771
Foundation,17.7492,17.1002,16.8598,16.756,17.7144,17.0917,16.8457,16.7652,37.4115,-4.11825,0.083573,0.0591597,0.043736,0.0345408,0.083573,0.0591597,0.043736,0.0345408
Foundation,18.2744,17.7778,17.5731,17.5218,18.2751,17.767,17.5706,17.5135,37.4448,-4.19939,0.0778964,0.0551414,0.0407653,0.0321946,0.0778964,0.0551414,0.0407653,0.0321946
Foundation,19.0104,18.5727,18.4131,18.3562,18.9997,18.574,18.4199,18.34,37.0403,-4.01016,0.0825745,0.0584529,0.0432135,0.0341281,0.0825745,0.0584529,0.0432135,0.0341281
Foundation,17.2923,16.9696,16.8318,16.8133,17.2929,16.9554,16.824,16.8181,37.147,-4.1809,0.0798754,0.0565422,0.041801,0.0330125,0.0798754,0.0565422,0.041801,0.0330125
Foundation,17.5152,17.0659,16.901,16.8557,17.5201,17.068,16.8995,16.8542,37.066,-4.10222,0.0767185,0.0543075,0.0401489,0.0317078,0.0767185,0.0543075,0.0401489,0.0317078
Foundation,17.2952,16.9901,16.8644,16.8464,17.3085,16.9901,16.8618,16.8488,37.0851,-4.11769,0.0768549,0.0544041,0.0402203,0.0317642,0.0768549,0.0544041,0.0402203,0.0317642
Foundation,18.3274,17.8216,17.6188,17.5629,18.345,17.8208,17.6193,17.5618,37.0659,-4.20285,0.0754587,0.0534158,0.0394896,0.0311871,0.0754587,0.0534158,0.0394896,0.0311871
Foundation,17.9897,17.7416,17.6252,17.6166,17.9724,17.7378,17.6269,17.6069,37.155,-4.13395,0.0787579,0.0557512,0.0412162,0.0325507,0.0787579,0.0557512,0.0412162,0.0325507
Foundation,18.8293,18.5936,18.4765,18.4673,18.8195,18.5916,18.4894,18.4895,37.1848,-4.19543,0.0811998,0.0574797,0.0424941,0.0335599,0.0811998,0.0574797,0.0424941,0.0335599
Foundation,18.9645,18.7153,18.6359,18.6283,18.9664,18.7006,18.624,18.6266,37.1344,-4.19564,0.0797628,0.0564625,0.0417421,0.032966,0.0797628,0.0564625,0.0417421,0.032966
Foundation,17.393,17.0416,16.9131,16.9042,17.3929,17.0414,16.9117,16.9045,37.0403,-4.27336,0.0767769,0.0543489,0.0401795,0.0317319,0.0767769,0.0543489,0.0401795,0.0317319
Foundation,18.5887,18.0789,17.8881,17.8221,18.5749,18.0763,17.8961,17.8292,37.1931,-4.28874,0.0842616,0.0596471,0.0440964,0.0348253,0.0842616,0.0596471,0.0440964,0.0348253
Foundation,17.7382,17.2273,17.0399,16.9778,17.729,17.2271,17.0378,16.9813,54.5108,-27.0522,0.0353716,0.0250389,0.0185109,0.0146191,0.0353716,0.0250389,0.0185109,0.0146191
Foundation,17.4721,17.1988,17.0879,17.0645,17.4595,17.1925,17.0759,17.077,54.4877,-27.1937,0.0344333,0.0243747,0.0180199,0.0142313,0.0344333,0.0243747,0.0180199,0.0142313
Foundation,18.123,17.6842,17.4948,17.4582,18.1274,17.683,17.5015,17.4599,54.4206,-27.1045,0.0335353,0.023739,0.0175499,0.0138601,0.0335353,0.023739,0.0175499,0.0138601
Foundation,18.1743,17.6367,17.4299,17.3762,18.1712,17.6469,17.4309,17.3794,54.4132,-27.0292,0.0350186,0.024789,0.0183262,0.0144732,0.0350186,0.024789,0.0183262,0.0144732
Foundation,18.1131,17.8562,17.7552,17.7548,18.0862,17.8534,17.7533,17.7602,54.5252,-27.0952,0.0327767,0.023202,0.0171529,0.0135466,0.0327767,0.023202,0.0171529,0.0135466
Foundation,18.724,18.1036,17.8421,17.7365,18.748,18.091,17.8547,17.7471,54.5188,-27.1453,0.0325989,0.0230761,0.0170599,0.0134731,0.0325989,0.0230761,0.0170599,0.0134731
Foundation,18.4619,17.9555,17.7354,17.6573,18.4952,17.9404,17.7393,17.6604,54.5363,-27.2175,0.0351367,0.0248726,0.018388,0.014522,0.0351367,0.0248726,0.018388,0.014522
Foundation,18.1822,17.8729,17.7546,17.7235,18.1655,17.8729,17.7386,17.7257,54.4357,-27.0768,0.0341459,0.0241712,0.0178695,0.0141125,0.0341459,0.0241712,0.0178695,0.0141125
Foundation,18.8735,18.4697,18.291,18.2964,18.8762,18.4629,18.3036,18.2852,54.4986,-26.9775,0.0400434,0.0283459,0.0209558,0.01655,0.0400434,0.0283459,0.0209558,0.01655
Foundation,17.714,17.1729,16.9327,16.8594,17.6978,17.1666,16.94,16.8562,54.5385,-27.0084,0.0374382,0.0265018,0.0195924,0.0154732,0.0374382,0.0265018,0.0195924,0.0154732
Foundation,18.7935,18.1101,17.844,17.7501,18.8235,18.0992,17.8401,17.7425,54.6784,-27.2365,0.0343401,0.0243087,0.0179711,0.0141928,0.0343401,0.0243087,0.0179711,0.0141928
Foundation,18.9694,18.2729,17.9755,17.8485,18.9963,18.2774,17.9914,17.8521,54.7266,-27.2349,0.035537,0.0251559,0.0185975,0.0146875,0.035537,0.0251559,0.0185975,0.0146875
Foundation,18.0257,17.3911,17.1457,17.0543,18.0413,17.3895,17.1401,17.0445,54.7621,-27.2556,0.0371184,0.0262754,0.0194251,0.0153411,0.0371184,0.0262754,0.0194251,0.0153411
Foundation,18.4987,18.0632,17.8516,17.7891,18.5246,18.0457,17.8471,17.7777,54.7974,-27.3789,0.0424072,0.0300192,0.0221929,0.0175269,0.0424072,0.0300192,0.0221929,0.0175269
Foundation,18.812,18.5904,18.4672,18.4715,18.8513,18.5838,18.4456,18.4805,54.7973,-27.5106,0.038281,0.0270984,0.0200335,0.0158216,0.038281,0.0270984,0.0200335,0.0158216
Foundation,18.4021,18.186,18.0828,18.1152,18.4195,18.1784,18.1074,18.1125,54.8318,-27.5785,0.0357677,0.0253192,0.0187182,0.0147828,0.0357677,0.0253192,0.0187182,0.0147828
Foundation,18.9143,18.3684,18.1676,18.0881,18.8921,18.3488,18.1724,18.0701,54.4105,-27.2057,0.0327446,0.0231792,0.0171361,0.0135333,0.0327446,0.0231792,0.0171361,0.0135333
Foundation,18.822,18.5146,18.401,18.3723,18.8017,18.5124,18.3897,18.3757,54.4639,-27.2801,0.0360539,0.0255219,0.018868,0.0149011,0.0360539,0.0255219,0.018868,0.0149011
Foundation,17.3909,16.9701,16.8397,16.8151,17.3675,16.9834,16.8341,16.8031,54.4096,-27.4741,0.0362454,0.0256574,0.0189682,0.0149803,0.0362454,0.0256574,0.0189682,0.0149803
Foundation,17.7339,17.1293,16.9004,16.8169,17.7317,17.1275,16.9052,16.8293,54.4961,-27.5251,0.0363216,0.0257114,0.0190081,0.0150117,0.0363216,0.0257114,0.0190081,0.0150117
Foundation,17.4942,17.1481,16.9999,16.9885,17.4796,17.1389,17.018,16.9826,54.6378,-27.4763,0.0361868,0.0256159,0.0189375,0.014956,0.0361868,0.0256159,0.0189375,0.014956
Foundation,18.2882,17.8051,17.6039,17.5502,18.2939,17.7947,17.6246,17.5532,54.4842,-27.6074,0.0335478,0.0237478,0.0175565,0.0138653,0.0335478,0.0237478,0.0175565,0.0138653
Foundation,18.0284,17.5797,17.4056,17.3514,18.0214,17.5762,17.4056,17.3633,54.523,-27.4386,0.0354749,0.025112,0.018565,0.0146618,0.0354749,0.025112,0.018565,0.0146618
