survey,CFA4P1-B,CFA4P1-V,CFA4P1-r,CFA4P1-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P1-B_AV,CFA4P1-V_AV,CFA4P1-r_AV,CFA4P1-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA4,16.5082,15.8446,15.6117,15.4238,16.1079,15.6257,15.444,15.3787,182.566,47.1743,0.0696435,0.0526657,0.0431776,0.0317547,0.0621311,0.0439814,0.0325149,0.0256788
CFA4,16.2845,15.645,15.4506,15.2969,15.8741,15.4611,15.3027,15.2671,182.54,47.0301,0.0617791,0.0467185,0.0383019,0.0281688,0.055115,0.0390148,0.0288432,0.0227791
CFA4,15.6935,15.213,15.0891,14.9663,15.3802,15.0863,14.9879,14.9794,182.424,47.1216,0.0665629,0.0503361,0.0412677,0.03035,0.0593827,0.0420359,0.0310766,0.0245429
CFA4,17.4232,16.8572,16.6724,16.5234,17.0477,16.6594,16.548,16.5149,174.368,15.4514,0.112168,0.0848237,0.0695422,0.0511443,0.100069,0.0708366,0.0523687,0.0413584
CFA4,17.593,16.6097,16.2314,15.9185,17.0177,16.2778,15.9666,15.8151,174.24,15.4761,0.125481,0.0948911,0.0777959,0.0572144,0.111945,0.079244,0.0585841,0.0462671
CFA4,16.4986,15.8025,15.5995,15.4093,16.0459,15.5895,15.4185,15.363,6.35644,12.8534,0.249192,0.188444,0.154494,0.113622,0.222312,0.15737,0.116342,0.0918816
CFA4,16.509,15.8203,15.6173,15.4179,16.0492,15.6123,15.4384,15.3828,6.34734,12.8867,0.253392,0.19162,0.157098,0.115537,0.226059,0.160022,0.118303,0.0934301
CFA4,16.4423,15.7611,15.557,15.3822,15.9995,15.5287,15.3526,15.2926,6.32174,12.8211,0.250739,0.189614,0.155454,0.114327,0.223692,0.158347,0.117064,0.092452
CFA4,15.9703,15.4071,15.2479,15.1081,15.5707,15.2206,15.1031,15.0924,192.114,54.0778,0.0551856,0.0417324,0.034214,0.0251625,0.0492328,0.0348509,0.0257648,0.0203479
CFA4,16.3252,15.6616,15.4405,15.2633,15.878,15.4292,15.2682,15.2244,192.086,53.9726,0.0587862,0.0444552,0.0364464,0.0268042,0.052445,0.0371248,0.0274459,0.0216755
CFA4,17.4064,16.569,16.2239,15.8942,16.8237,16.1533,15.8958,15.7709,192.078,54.0548,0.060787,0.0459682,0.0376868,0.0277165,0.0542299,0.0383883,0.02838,0.0224132
CFA4,17.7539,17.1228,16.9177,16.7501,17.3195,16.9054,16.76,16.7507,192.05,54.0799,0.0551209,0.0416834,0.0341739,0.0251329,0.049175,0.03481,0.0257346,0.0203241
CFA4,16.7138,16.1404,15.9609,15.8312,16.3085,15.9463,15.8167,15.8157,192.045,53.972,0.0574061,0.0434115,0.0355907,0.0261749,0.0512137,0.0362531,0.0268015,0.0211666
CFA4,18.037,17.2712,16.9913,16.6845,17.5414,16.9776,16.7117,16.5984,191.996,54.0656,0.0572026,0.0432577,0.0354645,0.0260821,0.0510322,0.0361247,0.0267065,0.0210916
CFA4,16.0512,15.4657,15.2819,15.138,15.6666,15.286,15.1558,15.1329,191.979,54.0807,0.0545796,0.0412741,0.0338383,0.0248861,0.0486921,0.0344682,0.0254819,0.0201245
CFA4,18.3883,17.7851,17.5608,17.3623,17.9568,17.5375,17.3592,17.3024,191.886,53.9884,0.0469436,0.0354996,0.0291042,0.0214044,0.0418798,0.0296459,0.0219169,0.017309
CFA4,16.5604,15.684,15.3442,15.001,16.0489,15.3612,15.0293,14.8764,245.614,-1.57308,0.412517,0.311953,0.255753,0.188091,0.368019,0.260513,0.192594,0.152102
CFA4,16.6514,15.815,15.4934,15.1873,16.1432,15.5024,15.2118,15.0794,245.613,-1.51352,0.400282,0.302701,0.248167,0.182513,0.357103,0.252786,0.186882,0.147591
CFA4,17.0247,16.2533,15.9745,15.7854,16.7421,16.1962,15.9734,15.8828,245.608,-1.42993,0.389109,0.294251,0.24124,0.177418,0.347136,0.245731,0.181666,0.143471
CFA4,18.5933,17.6955,17.3333,17.0351,17.9759,17.333,17.0479,16.9126,245.605,-1.44537,0.390544,0.295337,0.24213,0.178073,0.348416,0.246637,0.182336,0.144001
CFA4,18.2458,17.4158,17.0878,16.7656,17.7389,17.1051,16.8038,16.6721,245.605,-1.46013,0.39205,0.296476,0.243064,0.17876,0.34976,0.247588,0.183039,0.144556
CFA4,18.2256,17.3734,17.0582,16.7641,17.6951,17.0551,16.7739,16.628,245.603,-1.52871,0.404089,0.30558,0.250527,0.184249,0.3605,0.255191,0.188659,0.148995
CFA4,18.3429,17.9089,17.7743,17.6693,18.0882,17.7785,17.653,17.5852,245.6,-1.49139,0.396203,0.299616,0.245638,0.180653,0.353464,0.25021,0.184977,0.146087
CFA4,16.9275,16.1115,15.8166,15.5729,16.4344,15.8185,15.5972,15.4904,245.596,-1.49586,0.396829,0.300089,0.246026,0.180938,0.354023,0.250606,0.18527,0.146318
CFA4,17.6314,17.0096,16.7938,16.6133,17.2424,16.8001,16.6237,16.551,245.595,-1.54294,0.407386,0.308073,0.252572,0.185752,0.363442,0.257273,0.190199,0.150211
CFA4,16.2109,15.3837,15.076,14.8104,15.7041,15.083,14.8304,14.7059,245.593,-1.5592,0.410509,0.310435,0.254508,0.187176,0.366227,0.259245,0.191657,0.151362
CFA4,18.1025,17.504,17.3373,17.16,17.7406,17.3252,17.1666,17.0991,245.584,-1.50021,0.399287,0.301948,0.24755,0.182059,0.356216,0.252158,0.186417,0.147224
CFA4,16.7635,16.085,15.8596,15.6519,16.3451,15.8868,15.6911,15.5916,245.584,-1.57779,0.414392,0.313371,0.256915,0.188946,0.369691,0.261697,0.19347,0.152794
CFA4,18.1787,17.5644,17.3892,17.1784,17.7926,17.3597,17.1879,17.1075,245.579,-1.54009,0.408054,0.308578,0.252986,0.186056,0.364037,0.257695,0.19051,0.150457
CFA4,17.1427,16.3304,16.0216,15.7703,16.6418,16.0244,15.7843,15.6815,245.578,-1.44758,0.393059,0.297239,0.243689,0.179219,0.35066,0.248225,0.18351,0.144928
CFA4,17.1325,16.4355,16.194,15.9952,16.6826,16.1899,15.996,15.9169,245.578,-1.59247,0.417297,0.315568,0.258716,0.190271,0.372283,0.263532,0.194826,0.153865
CFA4,18.3792,17.7732,17.5862,17.4271,17.9965,17.6094,17.4406,17.3694,245.577,-1.48661,0.398352,0.301241,0.246971,0.181633,0.355382,0.251568,0.185981,0.14688
CFA4,18.3539,17.7628,17.5598,17.3707,17.9922,17.5678,17.397,17.3211,245.576,-1.45086,0.393774,0.297779,0.244132,0.179545,0.351298,0.248677,0.183844,0.145192
CFA4,17.1685,16.2539,15.8982,15.6478,16.6073,15.914,15.6508,15.5373,245.573,-1.60194,0.419098,0.31693,0.259833,0.191092,0.37389,0.26467,0.195667,0.154529
CFA4,18.8156,18.1195,17.8459,17.6474,18.3471,17.8501,17.6457,17.5517,245.568,-1.53469,0.408098,0.308611,0.253013,0.186077,0.364076,0.257723,0.190531,0.150473
CFA4,18.1611,17.4947,17.2543,17.037,17.7364,17.2618,17.0607,16.9693,245.557,-1.44019,0.396118,0.299552,0.245586,0.180614,0.353389,0.250157,0.184938,0.146056
CFA4,16.1224,15.4225,15.1875,14.9925,15.6898,15.1891,15.0012,14.9355,245.557,-1.52728,0.408921,0.309234,0.253523,0.186452,0.364811,0.258242,0.190916,0.150777
CFA4,17.7822,17.0796,16.8104,16.5769,17.3569,16.8195,16.5823,16.4911,245.556,-1.52309,0.408713,0.309077,0.253394,0.186357,0.364625,0.258111,0.190818,0.1507
CFA4,16.4671,15.7822,15.5364,15.3347,16.0783,15.5662,15.3694,15.2992,245.553,-1.42711,0.395414,0.299019,0.245149,0.180293,0.352761,0.249712,0.184609,0.145796
CFA4,17.2315,16.4945,16.2455,16.004,16.7762,16.2425,16.0206,15.9169,245.548,-1.47222,0.402494,0.304373,0.249539,0.183521,0.359077,0.254184,0.187915,0.148407
CFA4,17.2351,16.4712,16.1677,15.9101,16.7726,16.1815,15.9379,15.8152,245.544,-1.56595,0.417474,0.315701,0.258826,0.190351,0.372441,0.263643,0.194908,0.15393
